id	type	label_de	label_en	parent	comment_de
LP_0000001	Class	Schulfach	school subject	obo:IAO_0000030	Ein Schulfach ist eine Informationseinheit, die die Bezeichnung eines an Schulen unterrichteten Fachgebiets darstellt, welches die thematische Gliederung der allgemeinen schulischen Bildung widerspiegelt und der inhaltlichen Strukturierung des Unterrichts dient.
LP_0000002	Class	MINT-Fach		LP_0000001	Ein “MINT-Fach” ist ein “Schulfach”, in dem sich die Lernenden mit einem der vier Bereiche Mathematik, Informatik, Naturwissenschaft und Technik auseinandersetzen.
LP_0000003	Class	Naturwissenschaftsfach		LP_0000002	Ein “Naturwissenschaftsfach” ist ein “MINT-Fach”, das die belebte und unbelebte Materie als Gegenstand hat. Die drei Naturwissenschaftsfächer sind die Fächer Biologie, Chemie und Physik.
LP_0000004	Class	Fremdsprachenfach		LP_0000001	Ein “Fremsprachenfach” ist ein “Schulfach”, in dem die Lernenden eine Fremdsprache erlernen. In Deutschland übliche Fremdsprachenfächer sind zum Beispiel die Fächer Englisch und Französisch.
LP_0000005	Class	Gesellschaftswissenschaftsfach		LP_0000001	Ein “Gesellschaftswissenschaftsfach” ist ein “Schulfach”, in dem sich mit kulturellen, sozialen, ökonomischen und politischen Themen auseinandergesetzt wird. Zu den Gesellschaftswissenschaftsfächern gehören die Fächer Erziehungswissenschaften, Geographie, Geschichte, Sachunterricht, Sozialkunde, Politikwissenschaft und Wirtschaftskunde.
LP_0000006	Class	Lehrprozess	teaching process	obo:BFO_0000015	
LP_0000007	Class	Lernprozess	learning process	obo:BFO_0000015	
LP_0000009	Class	Jahrgangsstufe	class level	obo:IAO_0000030	Eine “Jahrgangsstufe” ist eine “Informationseinheit”. Sie umfasst die Gesamtheit der Klassen und Kurse, in denen Lernende gemeinsam einen bestimmten Abschnitt ihrer schulischen Laufbahn durchlaufen. Eine Jahrgangsstufe bezeichnet eine systematische Einteilung der Lernenden und gibt an, in welcher Phase ihres Bildungswegs sie sich befinden und legt die für sie vorgesehenen Kompetenzen und Lerninhal
LP_0000010	Class	Person	person	obo:BFO_0000030	
LP_0000011	Class	Lehrer Rolle	teacher role	obo:BFO_0000023	
LP_0000012	Class	Schüler Rolle	student  role	obo:BFO_0000023	
LP_0000013	Class	Kompetenz	competence	obo:BFO_0000016	Eine „Kompetenz“ ist eine Eigenschaft, die eine Person entweder bereits besitzt oder im Verlauf eines Lernprozesses erwirbt. Sie ist die Fähigkeit eines Lernenden, Wissen und Können zur Lösung von Problemen anzuwenden (vgl. KMK). Die Ontologie unterscheidet zwischen “Kompetenz” und “CE-Kompetenzspezifikation”: Im Unterschied zur “CE-Kompetenzspezifikation”, die eine “Kompetenz” im Rahmen eines Leh
LP_0000014	Individual	E Niveau (BW)			
LP_0000015	AnnotationProperty	tracker item			
LP_0000016	Individual	G Niveau (BW)			
LP_0000017	ObjectProperty	konkretisiert Lehrplan	concretizes curriculum	obo:RO_0000059	
LP_0000018	Individual	Gymnasialniveau Sek I (BW)			
LP_0000019	Class	Schulabschluss	educational qualification	obo:BFO_0000035	Ein “Schulabschluss” ist ein “Prozessende”. Es ist ein offiziell anerkannter Bildungsabschluss, der am Ende eines bestimmten Bildungsgangs erworben wird. Er bestätigt den erfolgreichen Abschluss einer schulischen Laufbahn und dient als Qualifikationsnachweis für weiterführende Bildungswege oder den Eintritt in das Berufsleben. Schulabschlüsse unterscheiden sich je nach Schulart und Bundesland in i
LP_0000020	Class	Schulstufe	educational level	obo:IAO_0000030	Die “Schulstufe” ist eine “Informationseinheit”. Sie bezeichnet eine bestimmte Phase der schulischen Laufbahn, in der Lernende bestimmte Ziele gemäß den Anforderungen des Bildungssystems erreichen sollen. Schulstufen dienen dazu, den Lernenden einen strukturierten Lernweg zu bieten, in dem die pädagogischen und didaktischen Anforderungen an die jeweiligen Altersgruppen angepasst sind. Die Schulstu
LP_0000021	ObjectProperty	endet mit Abschluss	leads to qualification	obo:BFO_0000051	
LP_0000022	Individual	M Niveau (BW)			
LP_0000023	Individual	Gymnasialniveau Sek I (BY)			
LP_0000024	ObjectProperty	wird beschrieben von	described by		
LP_0000025	Individual	Mittelschulniveau (BY)			
LP_0000026	ObjectProperty	hat Jahrgangsstufe	has class level	LP_0000024	
LP_0000027	Individual	Mittlere-Reife-Klasse (BY)			
LP_0000028	Class	Bildungsgangniveau	educational track level	LP_0000037	Das “Bildungsgangniveau” ist ein “Niveau”, das die Anforderungen innerhalb eines “Bildungsgangs” beschreibt und dabei den Unterschied in den Leistungsniveaus zwischen verschiedenen Bildungsgängen kennzeichnet. Es beschreibt in welcher Tiefe und mit welchem Anspruch die Lerninhalte und Kompetenzen innerhalb dieses Bildungsgangs behandelt werden. In der Ontologie wird unterschieden zwischen dem “Hau
LP_0000029	ObjectProperty	von Bundesland	of federal state	LP_0000024	
LP_0000030	Individual	Realschulniveau (BY)			
LP_0000031	Individual	Regelklasse (BY)			
LP_0000032	Individual	Orientierungsstufe (MV)			
LP_0000034	Individual	Erweitertes Anforderungsniveau (HB)			
LP_0000035	Individual	Grundlegendes Anforderungsniveau (HB)			
LP_0000036	Individual	Primarbereich			
