id	type	label_de	label_en	parent	comment_de
BB_0000000	Individual	Schulfächer (Brandenburg)			
BB_0000001	Individual	Altgriechisch			
BB_0000002	Individual	Astronomie			
BB_0000003	Individual	Biologie			
BB_0000004	Individual	Chemie			
BB_0000005	Individual	Chinesisch			
BB_0000006	Individual	Deutsch			
BB_0000007	Individual	Darstellendes Spiel			
BB_0000008	Individual	Deutsche Gebärdensprache			
BB_0000009	Individual	Englisch			
BB_0000010	Individual	Französisch			
BB_0000011	Individual	Geografie			
BB_0000012	Individual	Geschichte			
BB_0000013	Individual	Gesellschaftswissenschaften			
BB_0000014	Individual	Hebräisch			
BB_0000015	Individual	Informatik			
BB_0000016	Individual	Italienisch			
BB_0000017	Individual	Japanisch			
BB_0000018	Individual	Kunst			
BB_0000019	Individual	Latein			
BB_0000020	Individual	Lebensgestaltung-Ethik-Religion			
BB_0000021	Individual	Mathematik			
BB_0000022	Individual	Musik			
BB_0000023	Individual	Naturwissenschaften (5-6)			
BB_0000024	Individual	Naturwissenschaften (7-10 Wahlpflichtfach)			
BB_0000025	Individual	Neugriechisch			
BB_0000026	Individual	Philosophie			
BB_0000027	Individual	Physik			
BB_0000028	Individual	Politische Bildung			
BB_0000029	Individual	Polnisch			
BB_0000030	Individual	Portugisisch			
BB_0000031	Individual	Psychologie			
BB_0000032	Individual	Russisch			
BB_0000033	Individual	Recht			
BB_0000034	Individual	Sachunterricht			
BB_0000035	Individual	Sorbisch/Wendisch			
BB_0000036	Individual	Moderne Fremdsprachen			
BB_0000037	Individual	Sozialwissenschaften			
BB_0000038	Individual	Spanisch			
BB_0000039	Individual	Sport			
BB_0000040	Individual	Theater			
BB_0000041	Individual	Türkisch			
BB_0000042	Individual	Wirtschaft-Arbeit-Technik			
BB_0000043	Individual	Wirtschaftswissenschaften			
BB_0000044	Individual	Bautechnik			
BB_0000045	Individual	Chemietechnik			
BB_0000046	Individual	Elektrotechnik			
BB_0000047	Individual	Gestaltungs- und Medientechnik			
BB_0000048	Individual	Maschinentechnik			
BB_0000049	Individual	Pädagogik/Pädagogik (b.)			
BB_0000050	Individual	Psychologie/Psychologie (b.)			
BB_0000051	Individual	Rechnungswesen			
